LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,Punica is a ATmega1284p based control board,,,TOTAL,
,,,,,,9/15/17 17187^0 Preliminary,,,=SUM(J5:J100),
,,,,,,,,,,
1,C1,1,C-C,1206X5R50V106K,SAMSUNG@CL31A106KBHNNNE,CAP CER 10UF 50V 10% X5R 1206,(1),0.2886,=C5*I5,CC01
2,C2 C4 C9 C12 C15 C16 C19,7,C-C,0603X7R50V104K,YAGEO@CC0603KRX7R9BB104,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C6*I6,ADPT
3,C6,1,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C7*I7,ADPT
4,C3 C7 C8 C10 C11 C12 C13 C14,8,C-C,0603X7R50V103K,MURATA@GRM188R71H103KA01J,CAP CER 10000PF 50V 10% X7R 0603,(1),0.007,=C8*I8,HT
5,C5,1,C-C,0805X7R50V105K,TAIYO@UMK212B7105KG-T,CAP CER 1UF 50V 10% X7R 0805,(1),0.049,=C9*I9,CC01
6,C17 C18,2,C-C,0603NPO50V270J,SAMSUNG@CL10C270JB8NNNC,CAP CER 27PF 50V 5% NPO 0603,(1),0.0112,=C10*I10,RPUNO
7,D1,1,D-LED,5MMGN,CREE@C503B-GCN-CY0C0791,LED GREEN 5MM 3.2V@20MA,(1),0.21,=C11*I11,ONESHOT
8,D2,1,D-GP,T4,DIODES@1N4148W-7-F,DIODE SWITCH 100V 0.15A SOD123,(1),0.0601,=C12*I12,CC01
9,J1 J2 J3 J6 J7 J8,=6*5/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX_CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 7 SET OF 5,(6 2),1.13,=C13*I13,SHLD
10,J4 J5,=2*3/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX_CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 2 SET OF 3,(6 2),1.13,=C14*I14,SHLD
11,J9 J15,=2*5/36,J-HDR2.54mm,PBC36DAAN,SULLINS@PBC36DAAN,HEADER MALE BRKWAY .1IN AA 36X2POS 1 SET 5X2,(1),3.774,=C15*I15,IRRIGATE7
12,J10,=1*4/16,J-HDR3.5mm,PST1.0&16-3.5,PHOENIX_CONTACT@1945232,CONN HEADER STRIP PIN 3.5MM 16POS 2 SET OF 4,(6 2),1.13,=C16*I16,SHLD
13,J11 J12 J13,3,J-HDR2.54mm,PPPC101LFBN,SULLINS@PPPC101LFBN-RC,CONN HEADER FEMALE 10POS .1IN,(1),0.518,=C17*I17,IRRIGATE7
14,J14,1,J-HDR2.54mm,PPPC081LFBN,SULLINS@PPPC081LFBN-RC,CONN HEADER FEMALE 8POS .1IN,(1),0.518,=C18*I18,IRRIGATE7
15,J16,=1*3/36,J-HDR2.54mm,PBC36DAAN,SULLINS@PBC36DAAN,HEADER MALE BRKWAY .1IN AA 36X2POS 1 SET 3X2,(4 1),3.774,=C19*I19,IRRIGATE7
16,J17,0,J-HDR2mm,S04B,JST@S04B-PASK,CONN HEADER SIDE THRU 4POS,(1),0.465,=C20*I20,IRRIGATE7
17,J18 J19,=2*2/36,J-HDR2.54mm,PBC36SAAN,SULLINS@PBC36SAAN,HEADER MALE BRKWAY .1IN AA 36POS 2 SET OF 2,(4 1),2.091,=C21*I21,SHLD
18,Q1 Q5,2,Q-PCH,P65,DIODES@DMP4065S-7,MOSFET P-CH 2.4A 40V SOT23,(1),0.2196,=C22*I22,PUNICA
19,Q2 Q4 Q7 Q8 Q22 Q23 Q24 Q25 Q29 Q31 Q33 Q35 Q37 Q39 Q40 Q41 Q42 Q43 Q45 Q46 Q47 Q48 Q49 Q50 Q53 Q54 Q56 Q57,28,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0247,=C23*I23,HT
20,Q3 Q10 Q11 Q14 Q15 Q18 Q19 Q28 Q32 Q36 Q55 Q58,12,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C24*I24,IRRIGATE7
21,Q6 Q9 Q12 Q13 Q16 Q17 Q20 Q21 Q26 Q27 Q30 Q34 Q38 Q44 Q51 Q52,16,Q-NCH,K38,DIODES@BSS138-7-F,MOSFET N-CH 200MA 50V SOT23,(1),0.0657,=C25*I25,ADPT
22,R1,1,R-C,0805KX1001,YAGEO@RC0805FR-071KL,RESISTOR CHIP 1% 1KOHM 0805,(1),0.0025,=C26*I26,HT
23,R2 R6 R15 R16 R42 R43 R44 R45 R46 R47,10,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C27*I27,IRRIGATE7
24,R3,1,R-C,0805KX1582,YAGEO@RC0805FR-0715K8L,RESISTOR CHIP 1% 15K8OHM 0805,(1),0.0064,=C28*I28,IRRIGATE7
25,R4,1,R-C,0805KX0R068,SAMSUNG@RU2012FR068CS,RESISTOR CHIP 1% 0R068OHM 0805,(7),0.0899,=C29*I29,CC03
26,R5 R7 R10 R41 R52 R60 R65 R68,8,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C30*I30,ADPT
27,R8,0,,JMP,,,,0.0,=C31*I31,NA
28,R9,0,,OPEN,,,,0.0,=C32*I32,NA
29,R11 R20 R21 R37 R53 R54,6,R-C,0805KX1501,YAGEO@RC0805FR-071K5L,RESISTOR CHIP 1% 1K5OHM 0805,(1),0.0025,=C33*I33,ADPT
30,R12 R22 R24 R25 R29 R33 R40 R49 R51 R55 R57 R64 R67,13,R-C,0805KX4992,YAGEO@RC0805FR-0749K9L,RESISTOR CHIP 1% 49K9OHM 0805,(1),0.0064,=C34*I34,IRRIGATE7
31,R13 R14 R23 R26 R30 R34 R38 R39 R56,9,R-C,0805KX27R,YAGEO@RC0805FR-0727RL,RESISTOR CHIP 1% 27OHM 0805,(1),0.0064,=C35*I35,FTDI
32,R17 R18 R19 R27 R28 R31 R32 R35 R36,9,R-C,0805KX127R,YAGEO@RC0805FR-07127RL,RESISTOR CHIP 1% 127OHM 0805,(1),0.0064,=C36*I36,PUNICA
33,R48 R59,2,R-C,0805KX32R4,YAGEO@RC0805FR-0732R4L,RESISTOR CHIP 1% 32R4OHM 0805,(1),0.0064,=C37*I37,RPUNO
34,R50 R61,2,R-C,0805KX60R4,YAGEO@RC0805FR-0760R4L,RESISTOR CHIP 1% 60R4OHM 0805,(1),0.0064,=C38*I38,RPUNO
35,R58 R63,2,R-C,0805KX100R,YAGEO@RC0805FR-07100RL,RESISTOR CHIP 1% 100OHM 0805,(1),0.0025,=C39*I39,ADPT
36,R62 R66,2,R-C,0805KX182R,YAGEO@RC0805FR-07182RL,RESISTOR CHIP 1% 182OHM 0805,(1),0.0025,=C40*I40,IRRIGATE7
37,U1,1,U-LINEAR,1087,DIODES@ZXCT1087E5TA,HISIDE CURRENT MONITOR SOT23-5,(1),1.367,=C41*I41,CCTEST
38,U2,1,U-DCDC,I50115,MURATA PS@OKI-78SR-5/1.5-W36H-C,SMPS 5V 1500MA SIP3,(1),4.23,=C42*I42,RPUNO
39,U3,1,U-AVR,ATMEGA1284P-AU,ATMEL@ATMEGA1284P-AU,MCU AVR8 128KB FLASH 44TQFP,(1),5.45,=C43*I43,IRRIGATE7
40,Y1,1,Y-XTL,16MHZ20,ECS@ECS-160-20-3X-TR,CRYSTAL 16MHZ 20PF 30PPM  CSM-3X,(1),0.3150,=C44*I44,RPUNO
41,HW1 HW2,2,HW-DINMNT,USA10-4.6,PHXCONT@1201578,DINRAIL ADAPTER UNIVERSAL 10MM 2.75MM,(1),1.13,=C45*I45,SHLD
42,,4,HW-SCREW,ZN6PSMS38,B&F@PSMS 006 0038 PH,PAN SHT MTL SCREW #6 PHP .38L ZN,(1),0.1022,=C46*I46,SHLD
43,,2,J-HDR3.5mm,PT1.5/3-PVH-3.5,PHOENIX CONTACT@1984028,CONN PLUG STRIP 3POS 3.5MM,(2),0.60,=C47*I47,SHLD
44,,=1*2,J-HDR3.5mm,PT1.5/4-PVH-3.5,PHOENIX CONTACT@1984015,CONN PLUG STRIP 2POS 3.5MM  1 SET OF 2+2POS,(2),0.42,=C48*I48,SHLD
45,,6,J-HDR3.5mm,PT1.5/5-PVH-3.5,PHOENIX CONTACT@1984015+1984028,CONN PLUG STRIP 2POS+3POS 3.5MM 7 SET OF 3+2POS,(2),=0.60+0.43,=C49*I49,SHLD
46,,=1/3,BOARD,OSHPARK,,PCB 2 LAYER ENIG 3 COPY,(),68.25,=C50*I50,PUNICA
47,,1,LABOR,RON,,PLACE REFLOW TEST SHIP,(),0,=C51*I51,PUNICA
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(2) for x in (2 4 6 8): PST 1.0/x-3.5 mates with PT 1.5/x-PVH-3.5,,,,
,,,,,,(4) Cut 36 pin to needed size,,,,
,,,,,,(6) Cut 16 pin to needed size,,,,

