LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,Punica Headers,,,TOTAL,
,,,,,,11/8/17 (17187^1),,,=SUM(J5:J100),
,,,,,,,,,,
1,D1,1,D-LED,5MMGN,CREE@C503B-GCN-CY0C0791,LED GREEN 5MM 3.2V@20MA,(1),0.21,=C5*I5,ONESHOT
2,J9,=1*5/36,J-HDR2.54mm,PBC36DAAN,SULLINS@PBC36DAAN,HEADER MALE BRKWAY .1IN AA 36X2POS 1 SET 5X2,(1),3.774,=C6*I6,IRRIGATE7
3,J11 J12 J13,3,J-HDR2.54mm,PPPC101LFBN,SULLINS@PPPC101LFBN-RC,CONN HEADER FEMALE 10POS .1IN,(1),0.518,=C7*I7,IRRIGATE7
4,J14,1,J-HDR2.54mm,PPPC081LFBN,SULLINS@PPPC081LFBN-RC,CONN HEADER FEMALE 8POS .1IN,(1),0.518,=C8*I8,IRRIGATE7
5,J15,=1*3/36,J-HDR2.54mm,PBC36DAAN,SULLINS@PBC36DAAN,HEADER MALE BRKWAY .1IN AA 36X2POS 1 SET 3X2,(4 1),3.774,=C9*I9,IRRIGATE7
6,J17,0,J-HDR2mm,S04B,JST@S04B-PASK,CONN HEADER SIDE THRU 4POS,(1),0.465,=C10*I10,IRRIGATE7
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(4) Cut 36 pin to needed size,,,,

