LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,Punica SMD,,,TOTAL,
,,,,,,11/8/17 (17187^1),,,=SUM(J5:J100),
,,,,,,,,,,
1,C1,1,C-C,1206X5R50V106K,SAMSUNG@CL31A106KBHNNNE,CAP CER 10UF 50V 10% X5R 1206,(1),0.2886,=C5*I5,CC01
2,C2 C4 C9 C12 C15 C16 C19,7,C-C,0603X7R50V104K,YAGEO@CC0603KRX7R9BB104,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C6*I6,ADPT
3,C6,1,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C7*I7,ADPT
4,C3 C7 C8 C10 C11 C12 C13 C14,8,C-C,0603X7R50V103K,MURATA@GRM188R71H103KA01J,CAP CER 10000PF 50V 10% X7R 0603,(1),0.007,=C8*I8,HT
5,C5,1,C-C,0805X7R50V105K,TAIYO@UMK212B7105KG-T,CAP CER 1UF 50V 10% X7R 0805,(1),0.049,=C9*I9,CC01
6,C17 C18,2,C-C,0603NPO50V270J,SAMSUNG@CL10C270JB8NNNC,CAP CER 27PF 50V 5% NPO 0603,(1),0.0112,=C10*I10,RPUNO
7,D2,1,D-GP,T4,DIODES@1N4148W-7-F,DIODE SWITCH 100V 0.15A SOD123,(1),0.0601,=C11*I11,CC01
8,Q1 Q5,2,Q-PCH,P65,DIODES@DMP4065S-7,MOSFET P-CH 2.4A 40V SOT23,(1),0.2196,=C12*I12,PUNICA
9,Q2 Q4 Q7 Q8 Q22 Q23 Q24 Q25 Q29 Q31 Q33 Q35 Q37 Q39 Q40 Q41 Q42 Q43 Q45 Q46 Q47 Q48 Q49 Q50 Q54 Q55 Q57 Q58,28,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0247,=C13*I13,HT
10,Q3 Q10 Q11 Q14 Q15 Q18 Q19 Q28 Q32 Q36 Q56 Q61,12,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C14*I14,IRRIGATE7
11,Q6 Q9 Q12 Q13 Q16 Q17 Q20 Q21 Q26 Q27 Q30 Q34 Q38 Q44 Q51 Q52 Q53 Q59 Q60,19,Q-NCH,K38,DIODES@BSS138-7-F,MOSFET N-CH 200MA 50V SOT23,(1),0.0657,=C15*I15,ADPT
12,R1,1,R-C,0805KX1001,YAGEO@RC0805FR-071KL,RESISTOR CHIP 1% 1KOHM 0805,(1),0.0025,=C16*I16,HT
13,R2 R6 R15 R16 R42 R43 R44 R45 R46 R47,10,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C17*I17,IRRIGATE7
14,R3,1,R-C,0805KX1582,YAGEO@RC0805FR-0715K8L,RESISTOR CHIP 1% 15K8OHM 0805,(1),0.0064,=C18*I18,IRRIGATE7
15,R4,1,R-C,0805KX0R068,SAMSUNG@RU2012FR068CS,RESISTOR CHIP 1% 0R068OHM 0805,(7),0.0899,=C19*I19,CC03
16,R5 R7 R10 R41 R52 R61 R68 R71,8,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C20*I20,ADPT
17,R8,0,,JMP,,,,0.0,=C21*I21,NA
18,R9 R58 R64 R65,0,,OPEN,,,,0.0,=C22*I22,NA
19,R11 R20 R21 R37 R53 R54,6,R-C,0805KX1501,YAGEO@RC0805FR-071K5L,RESISTOR CHIP 1% 1K5OHM 0805,(1),0.0025,=C23*I23,ADPT
20,R12 R22 R24 R25 R29 R33 R40 R49 R51 R55 R57 R67 R70,13,R-C,0805KX4992,YAGEO@RC0805FR-0749K9L,RESISTOR CHIP 1% 49K9OHM 0805,(1),0.0064,=C24*I24,IRRIGATE7
21,R13 R14 R23 R26 R30 R34 R38 R39 R56,9,R-C,0805KX27R,YAGEO@RC0805FR-0727RL,RESISTOR CHIP 1% 27OHM 0805,(1),0.0064,=C25*I25,FTDI
22,R17 R18 R19 R27 R28 R31 R32 R35 R36,9,R-C,0805KX127R,YAGEO@RC0805FR-07127RL,RESISTOR CHIP 1% 127OHM 0805,(1),0.0064,=C26*I26,PUNICA
23,R48 R60,2,R-C,0805KX32R4,YAGEO@RC0805FR-0732R4L,RESISTOR CHIP 1% 32R4OHM 0805,(1),0.0064,=C27*I27,RPUNO
24,R50 R62,2,R-C,0805KX60R4,YAGEO@RC0805FR-0760R4L,RESISTOR CHIP 1% 60R4OHM 0805,(1),0.0064,=C28*I28,RPUNO
